name,type,hp,atk,def,spa,spd,spe,weight,height
Kingler,Water,55,130,115,50,50,75,60.0102216,1.2954
Voltorb,Electric,40,30,50,55,55,100,10.3872568,0.508
Electrode,Electric,60,50,70,80,80,150,66.58730560000001,1.1938
Exeggcute,Grass,60,40,80,60,45,40,2.4947559999999998,0.4064
Exeggutor,Grass,95,95,85,125,75,55,120.0204432,2.0066
Cubone,Ground,50,50,95,40,50,35,6.4863656,0.4064
Marowak,Ground,60,80,110,50,80,45,44.9963264,0.9906
Hitmonlee,Fighting,50,120,53,35,110,87,49.8044016,1.4986000000000002
Hitmonchan,Fighting,50,105,79,35,110,76,50.2126344,1.397
Lickitung,Normal,90,55,75,60,75,30,65.4986848,1.1938
Koffing,Poison,40,65,95,60,45,35,0.9979024000000001,0.6096
Weezing,Poison,65,90,120,85,70,60,9.480072799999999,1.1938
Rhyhorn,Ground,80,85,95,30,30,25,114.985572,0.9906
Rhydon,Ground,105,130,120,45,45,40,120.0204432,1.905
Chansey,Normal,250,5,5,35,105,50,34.6090696,1.0922
Tangela,Grass,65,55,115,100,40,60,35.0173024,0.9906
Kangaskhan,Normal,105,95,80,40,80,90,80.0136288,2.2098
Horsea,Water,30,40,70,70,25,60,7.983219200000001,0.4064
Seadra,Water,55,65,95,95,45,85,24.9929192,1.1938
Goldeen,Water,45,67,60,35,50,63,15.0138952,0.6096
Seaking,Water,80,92,65,65,80,68,39.008912,1.2954
Staryu,Water,30,45,55,70,55,85,34.5183512,0.7874000000000001
Starmie,Water,60,75,85,100,85,115,80.0136288,1.0922
Mr. Mime,Psychic,40,45,65,100,120,90,54.476399199999996,1.2954
Scyther,Bug,70,110,80,55,80,105,56.018612,1.4986000000000002
Jynx,Ice,65,50,35,115,95,95,40.596484,1.397
Electabuzz,Electric,65,83,57,95,85,105,29.982431199999997,1.0922
Magmar,Fire,65,95,57,100,85,93,44.4973752,1.2954
Pinsir,Bug,65,125,100,55,70,85,55.020709599999996,1.4986000000000002
Tauros,Normal,75,100,95,40,70,110,88.40508080000001,1.397
Magikarp,Water,20,10,55,15,20,80,9.979023999999999,0.889
Gyarados,Water,95,125,79,60,100,81,235.0060152,6.5024
Lapras,Water,130,85,80,85,95,60,219.99212,2.4892
Ditto,Normal,48,48,48,48,48,48,3.9916096000000003,0.3048
Eevee,Normal,55,55,50,45,65,55,6.4863656,0.3048
Vaporeon,Water,130,65,60,110,95,65,28.9845288,0.9906
Jolteon,Electric,65,65,60,110,95,130,24.493968,0.7874000000000001
Flareon,Fire,65,130,60,95,110,65,24.9929192,0.889
Porygon,Normal,65,60,70,85,75,40,36.514156,0.7874000000000001
Omanyte,Rock,35,40,100,90,55,35,7.484268,0.4064
Omastar,Rock,70,60,125,115,70,55,35.0173024,0.9906
Kabuto,Rock,30,80,90,55,45,55,11.521236799999999,0.508
Kabutops,Rock,60,115,105,65,70,80,40.5057656,1.2954
Aerodactyl,Rock,80,105,65,60,75,130,59.0123192,1.8034000000000001
Snorlax,Normal,160,110,65,65,110,30,459.9876472,2.1082
Articuno,Ice,90,85,100,95,125,85,55.3835832,1.7018
Zapdos,Electric,90,90,85,125,90,100,52.616672,1.6002
Moltres,Fire,90,100,90,125,85,90,60.0102216,2.0066
Dratini,Dragon,41,64,45,50,50,50,3.3112216,1.8034000000000001
Dragonair,Dragon,61,84,65,70,70,70,16.5107488,3.9878000000000005
Dragonite,Dragon,91,134,95,100,100,80,210.013096,2.2098
Mewtwo,Psychic,106,110,90,154,90,130,122.016248,2.0066
Mew,Psychic,100,100,100,100,100,100,3.9916096000000003,0.4064
Chikorita,Grass,45,49,65,49,65,45,6.3956472,0.889
Bayleef,Grass,60,62,80,63,80,60,15.7850016,1.1938
Meganium,Grass,80,82,100,83,100,80,100.5159872,1.8034000000000001
Cyndaquil,Fire,39,52,43,60,50,65,7.8925008,0.508
Quilava,Fire,58,64,58,80,65,80,19.0055048,0.889
Typhlosion,Fire,78,84,78,109,85,100,79.5146776,1.7018
Totodile,Water,50,65,64,44,48,43,9.480072799999999,0.6096
Croconaw,Water,65,80,80,59,63,58,24.9929192,1.0922
Feraligatr,Water,85,105,100,79,83,78,88.8133136,2.3114
Sentret,Normal,35,46,34,35,45,20,5.9874144,0.7874000000000001
Furret,Normal,85,76,64,45,55,90,32.477187199999996,1.8034000000000001
Hoothoot,Normal,60,30,30,36,56,50,21.182746400000003,0.7112
Noctowl,Normal,100,50,50,86,96,70,40.777920800000004,1.6002
Ledyba,Bug,40,20,30,40,80,55,10.7954896,0.9906
Ledian,Bug,55,35,50,55,110,85,35.606972,1.397
Spinarak,Bug,40,60,40,40,40,30,8.4821704,0.508
Ariados,Bug,70,90,70,60,70,40,33.520448800000004,1.0922
Crobat,Poison,85,90,80,70,80,130,74.97875760000001,1.8034000000000001
Chinchou,Water,75,38,38,56,56,67,12.020188,0.508
Lanturn,Water,125,58,58,76,76,67,22.4981632,1.1938
Pichu,Electric,20,40,15,35,35,60,1.9958048000000002,0.3048
Cleffa,Fairy,50,25,28,45,55,15,2.9937072,0.3048
Igglybuff,Normal,90,30,15,40,20,15,0.9979024000000001,0.3048
Togepi,Fairy,35,20,65,40,65,20,1.4968536,0.3048
Togetic,Fairy,55,40,85,80,105,40,3.2205032,0.6096
Natu,Psychic,40,50,45,70,45,70,1.9958048000000002,0.2032
Xatu,Psychic,65,75,70,95,70,95,15.0138952,1.4986000000000002
Mareep,Electric,55,40,40,65,45,35,7.8017824,0.6096
Flaaffy,Electric,70,55,55,80,60,45,13.2902456,0.7874000000000001
Ampharos,Electric,90,75,85,115,90,55,61.507075199999996,1.397
Bellossom,Grass,75,80,95,90,100,50,5.8059776,0.4064
Marill,Water,70,20,50,20,50,40,8.4821704,0.4064
Azumarill,Water,100,50,80,60,80,50,28.4855776,0.7874000000000001
Sudowoodo,Rock,70,100,115,30,65,30,38.0110096,1.1938
Politoed,Water,90,75,75,90,100,70,33.883322400000004,1.0922
Hoppip,Grass,35,35,40,35,55,50,0.49895120000000004,0.4064
Skiploom,Grass,55,45,50,45,65,80,0.9979024000000001,0.6096
Jumpluff,Grass,75,55,70,55,95,110,2.9937072,0.7874000000000001
Aipom,Normal,55,70,55,40,55,85,11.521236799999999,0.7874000000000001
Sunkern,Grass,30,30,30,30,30,30,1.814368,0.3048
Sunflora,Grass,75,75,55,105,85,30,8.4821704,0.7874000000000001
Yanma,Bug,65,65,45,75,45,95,38.0110096,1.1938
Wooper,Water,55,45,45,25,25,15,8.4821704,0.4064
Quagsire,Water,95,85,85,65,65,35,74.97875760000001,1.397
Espeon,Psychic,65,65,60,130,95,110,26.4897728,0.889
Umbreon,Dark,95,65,110,60,130,65,26.988724,0.9906
Murkrow,Dark,60,85,42,85,42,91,2.0865232,0.508
Slowking,Water,95,75,80,100,110,30,79.5146776,2.0066
Misdreavus,Ghost,60,60,60,85,85,85,0.9979024000000001,0.7112
Unown,Psychic,48,72,48,72,48,48,4.9895119999999995,0.508
Wobbuffet,Psychic,190,33,58,33,58,33,28.4855776,1.2954
Girafarig,Normal,70,80,65,90,65,85,41.503668,1.4986000000000002
Pineco,Bug,50,65,90,35,35,15,7.2121128,0.6096
Forretress,Bug,75,90,140,60,60,40,125.7810616,1.1938
Dunsparce,Normal,100,70,70,65,65,45,14.0159928,1.4986000000000002
Gligar,Ground,65,75,105,35,65,85,64.8182968,1.0922
Steelix,Steel,75,85,200,55,65,30,399.97742559999995,9.1948
Snubbull,Fairy,60,80,50,40,40,30,7.8017824,0.6096
Granbull,Fairy,90,120,75,60,60,45,48.715780800000005,1.397
Qwilfish,Water,65,95,85,55,55,85,3.9008912,0.508
Scizor,Bug,70,130,100,55,80,65,117.97927920000001,1.8034000000000001
Shuckle,Bug,20,10,230,10,230,5,20.502358400000002,0.6096
Heracross,Bug,80,125,75,40,95,85,53.977448,1.4986000000000002
Sneasel,Dark,55,95,55,35,75,115,27.986626400000002,0.889
Teddiursa,Normal,60,80,50,50,50,40,8.7996848,0.6096
Ursaring,Normal,90,130,75,75,75,55,125.7810616,1.8034000000000001
Slugma,Fire,40,40,40,70,40,20,35.0173024,0.7112
Magcargo,Fire,60,50,120,90,80,30,55.020709599999996,0.7874000000000001
Swinub,Ice,50,50,40,30,30,50,6.4863656,0.4064
Piloswine,Ice,100,100,80,60,60,50,55.791816,1.0922
Corsola,Water,65,55,95,65,95,35,4.9895119999999995,0.6096
Remoraid,Water,35,65,35,65,35,65,12.020188,0.6096
Octillery,Water,75,105,75,105,75,45,28.4855776,0.889
Delibird,Ice,45,55,45,65,45,75,16.011797599999998,0.889
Mantine,Water,85,40,70,80,140,70,219.99212,2.1082
Skarmory,Steel,65,80,140,40,70,70,50.4847896,1.7018
Houndour,Dark,45,60,30,80,50,65,10.7954896,0.6096
Houndoom,Dark,75,90,50,110,80,95,35.0173024,1.397
Kingdra,Water,75,95,95,95,95,85,151.9986792,1.8034000000000001
Phanpy,Ground,90,60,60,40,40,40,33.520448800000004,0.508
Donphan,Ground,90,120,120,60,60,50,120.0204432,1.0922
Porygon2,Normal,85,80,90,105,95,60,32.477187199999996,0.6096
Stantler,Normal,73,95,62,85,65,85,71.213944,1.397
Smeargle,Normal,55,20,35,20,45,75,58.0144168,1.1938
Tyrogue,Fighting,35,35,35,35,35,35,21.0013096,0.7112
Hitmontop,Fighting,50,95,95,35,110,70,47.9900336,1.397
Smoochum,Ice,45,30,15,85,65,65,5.9874144,0.4064
Elekid,Electric,45,63,37,65,55,95,23.496065599999998,0.6096
Magby,Fire,45,75,37,70,55,83,21.4095424,0.7112
Miltank,Normal,95,80,105,40,70,100,75.4777088,1.1938
Blissey,Normal,255,10,10,75,135,55,46.8106944,1.4986000000000002
Raikou,Electric,90,85,75,115,100,115,177.9895008,1.905
Entei,Fire,115,115,85,90,75,100,197.992908,2.1082
Suicune,Water,100,75,115,90,115,85,187.0159816,2.0066
Larvitar,Rock,50,64,50,45,50,41,71.98505039999999,0.6096
Pupitar,Rock,70,84,70,65,70,51,151.9986792,1.1938
Tyranitar,Rock,100,134,110,95,100,61,201.9845176,2.0066
Lugia,Psychic,106,90,130,90,154,110,216.0005104,5.207
Ho-Oh,Fire,106,130,90,110,154,90,198.9908104,3.81
Celebi,Psychic,100,100,100,100,100,100,4.9895119999999995,0.6096
Treecko,Grass,40,45,35,65,55,70,4.9895119999999995,0.508
Grovyle,Grass,50,65,45,85,65,95,21.5909792,0.889
Sceptile,Grass,70,85,65,105,85,120,52.208439199999994,1.7018
Torchic,Fire,45,60,40,70,50,45,2.4947559999999998,0.4064
Combusken,Fire,60,85,60,85,60,55,19.504456,0.889
Blaziken,Fire,80,120,70,110,70,80,51.98164319999999,1.905
Mudkip,Water,50,70,50,50,50,40,7.6203456,0.4064
Marshtomp,Water,70,85,70,60,70,50,27.986626400000002,0.7112
Swampert,Water,100,110,90,85,90,60,81.9187152,1.4986000000000002
Poochyena,Dark,35,55,35,30,30,35,13.607759999999999,0.508
Mightyena,Dark,70,90,70,60,60,70,37.0131072,0.9906
Zigzagoon,Normal,38,30,41,30,41,60,17.5086512,0.4064
Linoone,Normal,78,70,61,50,61,100,32.477187199999996,0.508
Wurmple,Bug,45,45,35,20,30,20,3.5833768,0.3048
Silcoon,Bug,50,35,55,25,25,15,9.979023999999999,0.6096
Beautifly,Bug,60,70,50,100,50,65,28.3948592,0.9906
Cascoon,Bug,50,35,55,25,25,15,11.521236799999999,0.7112
Dustox,Bug,60,50,70,50,90,65,31.615362400000002,1.1938
Lotad,Water,40,30,30,40,50,30,2.5854744,0.508
Lombre,Water,60,50,50,60,70,50,32.477187199999996,1.1938
Ludicolo,Water,80,70,70,90,100,70,55.020709599999996,1.4986000000000002
Seedot,Grass,40,40,50,30,30,30,3.9916096000000003,0.508
Nuzleaf,Grass,70,70,40,60,40,60,27.986626400000002,0.9906
Shiftry,Grass,90,100,60,90,60,80,59.6019888,1.2954
Taillow,Normal,40,55,30,30,30,85,2.3133192,0.3048
Swellow,Normal,60,85,60,75,50,125,19.8219704,0.7112
Wingull,Water,40,30,30,55,30,85,9.480072799999999,0.6096
Pelipper,Water,60,50,100,95,70,65,27.986626400000002,1.1938
Ralts,Psychic,28,25,25,45,35,40,6.6224432,0.4064
Kirlia,Psychic,38,35,35,65,55,50,20.184844,0.7874000000000001
Gardevoir,Psychic,68,65,65,125,115,80,48.398266400000004,1.6002
Surskit,Bug,40,30,32,50,52,65,1.6782904,0.508
Masquerain,Bug,70,60,62,100,82,80,3.5833768,0.7874000000000001
Shroomish,Grass,60,40,60,40,60,35,4.4905608,0.4064
Breloom,Grass,60,130,80,60,60,70,39.1903488,1.1938
Slakoth,Normal,60,60,60,35,35,30,23.9950168,0.7874000000000001
Vigoroth,Normal,80,80,80,55,55,90,46.49318,1.397
Slaking,Normal,150,160,100,95,65,100,130.4984184,2.0066
Nincada,Bug,31,45,90,30,30,40,5.4884632,0.508
Ninjask,Bug,61,90,45,50,50,160,12.020188,0.7874000000000001
Shedinja,Bug,1,90,45,30,30,40,1.1793392,0.7874000000000001
Whismur,Normal,64,51,23,51,23,28,16.283952799999998,0.6096
Loudred,Normal,84,71,43,71,43,48,40.5057656,0.9906
Exploud,Normal,104,91,63,91,73,68,84.0052384,1.4986000000000002
Makuhita,Fighting,72,60,30,20,30,25,86.409276,0.9906
Hariyama,Fighting,144,120,60,40,60,50,253.784724,2.3114
Azurill,Normal,50,20,40,20,40,20,1.9958048000000002,0.2032
Nosepass,Rock,30,45,135,45,90,30,96.97796960000001,0.9906
Skitty,Normal,50,45,45,35,35,50,11.0222856,0.6096
Delcatty,Normal,70,65,65,55,55,90,32.6132648,1.0922
Sableye,Dark,50,75,75,65,65,50,11.0222856,0.508
Mawile,Steel,50,85,85,55,55,50,11.521236799999999,0.6096
Aron,Steel,50,70,100,40,40,30,60.0102216,0.4064
Lairon,Steel,60,90,140,50,50,40,120.0204432,0.889
Aggron,Steel,70,110,180,60,60,50,360.0159704,2.1082
Meditite,Fighting,30,40,55,40,55,60,11.2037224,0.6096
Medicham,Fighting,60,60,75,60,75,80,31.479284800000002,1.2954
Electrike,Electric,40,45,40,65,40,65,15.195332,0.6096
Manectric,Electric,70,75,60,105,60,105,40.188251199999996,1.4986000000000002
Plusle,Electric,60,50,40,85,75,95,4.2184056000000005,0.4064
Minun,Electric,60,40,50,75,85,95,4.2184056000000005,0.4064
Volbeat,Bug,65,73,75,47,85,85,17.690088,0.7112
Illumise,Bug,65,47,75,73,85,85,17.690088,0.6096
Roselia,Grass,50,60,45,100,80,65,1.9958048000000002,0.3048
Gulpin,Poison,70,43,53,43,53,40,10.2965384,0.4064
Swalot,Poison,100,73,83,73,83,55,80.0136288,1.7018
Carvanha,Water,45,90,20,65,20,65,20.8198728,0.7874000000000001
Sharpedo,Water,70,120,40,95,40,95,88.8133136,1.8034000000000001
Wailmer,Water,130,70,35,70,35,60,129.9994672,2.0066
Wailord,Water,170,90,45,90,45,60,397.9816208,14.503400000000001
Numel,Fire,60,60,40,65,45,35,23.9950168,0.7112
Camerupt,Fire,70,100,70,105,75,40,219.99212,1.905
Torkoal,Fire,70,85,140,85,70,20,80.37650239999999,0.508
Spoink,Psychic,60,25,35,70,80,60,30.61746,0.7112
Grumpig,Psychic,80,45,65,90,110,80,71.4860992,0.889
Spinda,Normal,60,60,60,60,60,60,4.9895119999999995,1.0922
Trapinch,Ground,45,100,45,45,45,10,15.0138952,0.7112
Vibrava,Ground,50,70,50,50,50,70,15.2860504,1.0922
Flygon,Ground,80,100,80,80,80,100,82.00943360000001,2.0066
Cacnea,Grass,50,85,40,85,40,35,51.3012552,0.4064
Cacturne,Grass,70,115,60,115,60,55,77.38279519999999,1.2954
Swablu,Normal,45,40,60,40,75,50,1.1793392,0.4064
Altaria,Dragon,75,70,90,70,105,80,20.5930768,1.0922
Zangoose,Normal,73,115,60,60,60,90,40.278969599999996,1.2954
Seviper,Poison,73,100,60,100,60,65,52.4805944,2.6924
Lunatone,Rock,90,55,65,95,85,70,168.0104768,0.9906
Solrock,Rock,90,95,85,55,65,70,153.994484,1.1938
Barboach,Water,50,48,43,46,41,60,1.9050864,0.4064
Whiscash,Water,110,78,73,76,71,60,23.586784,0.889
Corphish,Water,43,80,65,50,35,35,11.521236799999999,0.6096
Crawdaunt,Water,63,120,85,90,55,55,32.794701599999996,1.0922
Baltoy,Ground,40,40,55,40,70,55,21.5002608,0.508
Claydol,Ground,60,70,105,70,120,75,108.0002552,1.4986000000000002
Lileep,Rock,66,41,77,61,87,23,23.813579999999998,0.9906
Cradily,Rock,86,81,97,81,107,43,60.418454399999995,1.4986000000000002
Anorith,Rock,45,95,50,40,50,75,12.5191392,0.7112
Armaldo,Rock,75,125,100,70,80,45,68.2202368,1.4986000000000002
Feebas,Water,20,15,20,10,55,80,7.3935496,0.6096
Milotic,Water,95,60,79,100,125,81,161.9777032,6.1975999999999996
Castform (Normal),Normal,70,70,70,70,70,70,0.8164656,0.3048
Kecleon,Normal,60,90,70,60,120,40,21.999212,0.9906
Shuppet,Ghost,44,75,35,63,33,45,2.3133192,0.6096
Banette,Ghost,64,115,65,83,63,65,12.5191392,1.0922
Duskull,Ghost,20,40,90,30,90,25,15.0138952,0.7874000000000001
Dusclops,Ghost,40,70,130,60,130,25,30.61746,1.6002
Tropius,Grass,99,68,83,72,87,51,100.017036,2.0066
Chimecho,Psychic,75,50,80,95,90,65,0.9979024000000001,0.6096
Absol,Dark,65,130,60,75,60,75,46.992131199999996,1.1938
Wynaut,Psychic,95,23,48,23,48,23,14.0159928,0.6096
Snorunt,Ice,50,50,50,50,50,50,16.782904,0.7112
Glalie,Ice,80,80,80,80,80,80,256.506276,1.4986000000000002
Spheal,Ice,70,40,50,55,50,25,39.507863199999996,0.7874000000000001
Sealeo,Ice,90,60,70,75,70,45,87.58861519999999,1.0922
Walrein,Ice,110,80,90,95,90,65,150.592544,1.397
Clamperl,Water,35,64,85,74,55,32,52.4805944,0.4064
Huntail,Water,55,104,105,94,75,52,26.988724,1.7018
Gorebyss,Water,55,84,105,114,75,52,22.588881599999997,1.8034000000000001
Relicanth,Water,100,90,130,45,65,55,23.4053472,0.9906
Luvdisc,Water,43,30,55,40,65,97,8.7089664,0.6096
Bagon,Dragon,45,75,60,40,30,50,42.0933376,0.6096
Shelgon,Dragon,65,95,100,60,50,50,110.4950112,1.0922
Salamence,Dragon,95,135,80,110,80,100,102.6025104,1.4986000000000002
Beldum,Steel,40,55,80,35,60,30,95.2089608,0.6096
Metang,Steel,60,75,100,55,80,50,202.4834688,1.1938
Metagross,Steel,80,135,130,95,90,70,549.9802999999999,1.6002
Regirock,Rock,80,100,200,50,100,50,230.01650320000002,1.7018
Regice,Ice,80,50,100,100,200,50,174.9957936,1.8034000000000001
Registeel,Steel,80,75,150,75,150,50,204.9782248,1.905
Latias,Dragon,80,80,90,110,130,110,40.0068144,1.397
Latios,Dragon,80,90,80,130,110,110,60.0102216,2.0066
Kyogre,Water,100,100,90,150,140,90,351.987392,4.4958
Groudon,Ground,100,150,140,100,90,90,950.0030848,3.5052000000000003
Rayquaza,Dragon,105,150,90,150,90,95,206.4750784,7.010400000000001
Jirachi,Steel,100,100,100,100,100,100,1.0886208,0.3048
Deoxys (Normal Forme),Psychic,50,150,50,150,50,150,60.781328,1.7018
Turtwig,Grass,55,68,64,45,55,31,10.20582,0.4064
Grotle,Grass,75,89,85,55,65,36,96.97796960000001,1.0922
Torterra,Grass,95,109,105,75,85,56,309.9847728,2.2098
Chimchar,Fire,44,58,44,58,44,61,6.2142104,0.508
Monferno,Fire,64,78,52,78,52,81,21.999212,0.889
Infernape,Fire,76,104,71,104,71,108,55.020709599999996,1.1938
Piplup,Water,53,51,53,61,56,40,5.216308,0.4064
Prinplup,Water,64,66,68,81,76,50,22.9971144,0.7874000000000001
Empoleon,Water,84,86,88,111,101,60,84.5041896,1.7018
Starly,Normal,40,55,30,30,30,60,1.9958048000000002,0.3048
Staravia,Normal,55,75,50,40,40,80,15.5128464,0.6096
Staraptor,Normal,85,120,70,50,60,100,24.9022008,1.1938
Bidoof,Normal,59,45,40,35,40,31,20.0034072,0.508
Bibarel,Normal,79,85,60,55,60,71,31.479284800000002,0.9906
Kricketot,Bug,37,25,41,25,41,25,2.2226008,0.3048
Kricketune,Bug,77,85,51,55,51,65,25.4918704,0.9906
Shinx,Electric,45,65,34,40,34,45,9.480072799999999,0.508
Luxio,Electric,60,85,49,60,49,60,30.4813824,0.889
Luxray,Electric,80,120,79,95,79,70,42.0026192,1.397
Budew,Grass,40,30,35,50,70,55,1.1793392,0.2032
Roserade,Grass,60,70,65,125,105,90,14.514944,0.889
Cranidos,Rock,67,125,40,30,30,58,31.479284800000002,0.889
Rampardos,Rock,97,165,60,65,50,58,102.511792,1.6002
Shieldon,Rock,30,42,118,42,88,30,57.0165144,0.508
Bastiodon,Rock,60,52,168,47,138,30,149.5039232,1.2954
Burmy (Plant Cloak),Bug,40,29,45,29,45,36,3.4019399999999997,0.2032
Wormadam (Plant Cloak),Bug,60,59,85,79,105,36,6.4863656,0.508
Mothim,Bug,70,94,50,94,50,66,23.314628799999998,0.889
Combee,Bug,30,30,42,30,42,70,5.4884632,0.3048
